S,H0+H6+H7+H10+H11+H12+H13+H14+H18+H19+H20
S243649,H11
S244646,H7+H11
S244647,H11
S244648,H11
S244649,H11
S245646,H7+H11
S245647,H11
S245648,H11
S245649,H11
S246646,H7+H11
S246647,H11
S246648,H11
S246649,H11
S247646,H7+H11
S247647,H11
S247648,H11
S247649,H11
S248646,H7+H11
S248647,H7+H11
S248648,H11
S248649,H11
S249647,H7+H11
S249648,H11
S249649,H11
S2465,H11
S2564,H7+H11
S250647,H7+H11
S250648,H11
S250649,H11
S251647,H7+H11
S251648,H11
S251649,H11
S252647,H7+H11
S252648,H11
S252649,H11
S253646,H7+H11
S253647,H7+H11
S253648,H11
S253649,H11
S254645,H7+H11
S254646,H7+H11
S254647,H11
S254648,H11
S254649,H11
S255644,H7+H11
S255645,H7+H11
S255646,H11
S255647,H11
S255648,H11
S255649,H11
S256642,H7+H11
S256643,H7+H11
S256644,H7+H11
S256645,H11
S256646,H11
S256647,H11
S256648,H11
S256649,H11
S257641,H7+H11
S257642,H7+H11
S257643,H11
S257644,H11
S257645,H11
S257646,H11
S257647,H11
S257648,H11
S257649,H11
S258640,H7+H11
S258641,H7+H11
S258642,H11
S258643,H11
S258644,H11
S258645,H11
S258646,H11
S258647,H11
S258648,H11
S258649,H11
S259640,H7+H11
S259641,H11
S259642,H11
S259643,H11
S259644,H11
S259645,H11
S259646,H11
S259647,H11
S259648,H11
S259649,H11
S2565,H11
S26N,H11
S26P,H11
S26R,H7+H11
S2663,H7+H11
S260638,H7+H11
S260639,H7+H11
S261638,H7+H11
S261639,H11
S262637,H7+H11
S262638,H7+H11
S262639,H11
S263635,H7+H11
S263636,H7+H11
S263637,H7+H11
S263638,H11
S263639,H11
S264633,H7+H11
S264634,H7+H11
S264635,H7+H11
S264636,H11
S264637,H11
S264638,H11
S264639,H11
S265632,H7+H11
S265633,H7+H11
S265634,H11
S265635,H11
S265636,H11
S265637,H11
S265638,H11
S265639,H11
S266632,H7+H11
S266633,H11
S266634,H11
S266635,H11
S266636,H11
S266637,H11
S266638,H11
S266639,H11
S267632,H7+H11
S267633,H11
S267634,H11
S267635,H11
S267636,H11
S267637,H11
S267638,H11
S267639,H11
S268632,H7+H11
S268633,H11
S268634,H11
S268635,H11
S268636,H11
S268637,H11
S268638,H11
S268639,H11
S269632,H7+H11
S269633,H11
S269634,H11
S269635,H11
S269636,H11
S269637,H11
S269638,H11
S269639,H11
S2762,H7+H11
S274629,H7+H11
S275627,H7+H11
S275628,H7+H11
S275629,H7+H11
S276626,H7+H11
S276627,H7+H11
S276628,H11
S276629,H11
S277626,H7+H11
S277627,H11
S277628,H11
S277629,H11
S278625,H7+H11
S278626,H7+H11
S278627,H11
S278628,H11
S278629,H11
S279624,H7+H11
S279625,H7+H11
S279626,H11
S279627,H11
S279628,H11
S279629,H11
S2763,H7+H11
S270632,H7+H11
S270633,H11
S270634,H11
S270635,H11
S270636,H11
S270637,H11
S270638,H11
S270639,H11
S271632,H7+H11
S271633,H11
S271634,H11
S271635,H11
S271636,H11
S271637,H11
S271638,H11
S271639,H11
S272632,H7+H11
S272633,H7+H11
S272634,H11
S272635,H11
S272636,H11
S272637,H11
S272638,H11
S272639,H11
S273632,H7+H11
S273633,H11
S273634,H11
S273635,H11
S273636,H11
S273637,H11
S273638,H11
S273639,H11
S274630,H7+H11
S274631,H7+H11
S274632,H7+H11
S274633,H11
S274634,H11
S274635,H11
S274636,H11
S274637,H11
S274638,H11
S274639,H11
S275630,H11
S275631,H11
S275632,H11
S275633,H11
S275634,H11
S275635,H11
S275636,H11
S275637,H11
S275638,H11
S275639,H11
S276630,H11
S276631,H11
S276632,H11
S276633,H11
S276634,H11
S276635,H11
S276636,H11
S276637,H11
S276638,H11
S276639,H11
S277630,H11
S277631,H11
S277632,H11
S277633,H11
S277634,H11
S277635,H11
S277636,H11
S277637,H11
S277638,H11
S277639,H11
S278630,H11
S278631,H11
S278632,H11
S278633,H11
S278634,H11
S278635,H11
S278636,H11
S278637,H11
S278638,H11
S278639,H11
S279630,H11
S279631,H11
S279632,H11
S279633,H11
S279634,H11
S279635,H11
S279636,H11
S279637,H11
S279638,H11
S279639,H11
S26S,H11
S26T,H11
S26U,H11
S26V,H7+H11
S2961,H7+H11
S291619,H7+H11
S292619,H7+H11
S293618,H7+H11
S293619,H7+H11
S294617,H7+H11
S294618,H7+H11
S294619,H11
S295617,H7+H11
S295618,H11
S295619,H11
S296616,H7+H11
S296617,H7+H11
S296618,H11
S296619,H11
S297613,H7+H11
S297614,H7+H11
S297615,H7+H11
S297616,H7+H11
S297617,H11
S297618,H11
S297619,H11
S298613,H7+H11
S298614,H11
S298615,H11
S298616,H11
S298617,H11
S298618,H11
S298619,H11
S299613,H7+H11
S299614,H11
S299615,H11
S299616,H11
S299617,H11
S299618,H11
S299619,H11
S26W,H7+H11
S2862,H7+H11
S280624,H7+H11
S280625,H11
S280626,H11
S280627,H11
S280628,H11
S280629,H11
S281623,H7+H11
S281624,H7+H11
S281625,H11
S281626,H11
S281627,H11
S281628,H11
S281629,H11
S282622,H7+H11
S282623,H7+H11
S282624,H11
S282625,H11
S282626,H11
S282627,H11
S282628,H11
S282629,H11
S283622,H7+H11
S283623,H11
S283624,H11
S283625,H11
S283626,H11
S283627,H11
S283628,H11
S283629,H11
S284622,H7+H11
S284623,H11
S284624,H11
S284625,H11
S284626,H11
S284627,H11
S284628,H11
S284629,H11
S285622,H7+H11
S285623,H7+H11
S285624,H7+H11
S285625,H11
S285626,H11
S285627,H11
S285628,H11
S285629,H11
S286623,H7+H11
S286624,H7+H11
S286625,H11
S286626,H11
S286627,H11
S286628,H11
S286629,H11
S287622,H7+H11
S287623,H7+H11
S287624,H11
S287625,H11
S287626,H11
S287627,H11
S287628,H11
S287629,H11
S288621,H7+H11
S288622,H7+H11
S288623,H11
S288624,H11
S288625,H11
S288626,H11
S288627,H11
S288628,H11
S288629,H11
S289620,H7+H11
S289621,H7+H11
S289622,H11
S289623,H11
S289624,H11
S289625,H11
S289626,H11
S289627,H11
S289628,H11
S289629,H11
S2863,H11
S2962,H7+H11
S290620,H7+H11
S290621,H11
S290622,H11
S290623,H11
S290624,H11
S290625,H11
S290626,H11
S290627,H11
S290628,H11
S290629,H11
S291620,H7+H11
S291621,H11
S291622,H11
S291623,H11
S291624,H11
S291625,H11
S291626,H11
S291627,H11
S291628,H11
S291629,H11
S292620,H11
S292621,H11
S292622,H11
S292623,H11
S292624,H11
S292625,H11
S292626,H11
S292627,H11
S292628,H11
S292629,H11
S293620,H11
S293621,H11
S293622,H11
S293623,H11
S293624,H11
S293625,H11
S293626,H11
S293627,H11
S293628,H11
S293629,H11
S294620,H11
S294621,H11
S294622,H11
S294623,H11
S294624,H11
S294625,H11
S294626,H11
S294627,H11
S294628,H11
S294629,H11
S295620,H11
S295621,H11
S295622,H11
S295623,H11
S295624,H11
S295625,H11
S295626,H11
S295627,H11
S295628,H11
S295629,H11
S296620,H11
S296621,H11
S296622,H11
S296623,H11
S296624,H11
S296625,H11
S296626,H11
S296627,H11
S296628,H11
S296629,H11
S297620,H11
S297621,H11
S297622,H11
S297623,H11
S297624,H11
S297625,H11
S297626,H11
S297627,H11
S297628,H11
S297629,H11
S298620,H11
S298621,H11
S298622,H11
S298623,H11
S298624,H11
S298625,H11
S298626,H11
S298627,H11
S298628,H11
S298629,H11
S299620,H11
S299621,H11
S299622,H11
S299623,H11
S299624,H11
S299625,H11
S299626,H11
S299627,H11
S299628,H11
S299629,H11
S2963,H11
S26X,H11
S26Y,H11
S26Z,H11
S27,H7+H11+H14
S27SW,H7+H11+H14
S27SE,H11+H14
S27NE,H11+H14
S27F,H7+H11+H14
S2270,H7+H11+H14
S220700,H7+H11+H14
S221700,H11+H14
S221701,H11+H14
S222700,H11
S222701,H11+H14
S223700,H11
S223701,H11+H14
S224700,H11
S224701,H11+H14
S225700,H11
S225701,H11+H14
S225702,H11+H14
S226700,H11
S226701,H11
S226702,H11+H14
S226703,H11+H14
S227700,H11
S227701,H11
S227702,H11
S227703,H11+H14
S228700,H11
S228701,H11
S228702,H11
S228703,H11+H14
S228704,H11+H14
S229700,H11
S229701,H11
S229702,H11
S229703,H11
S229704,H11+H14
S2370,H11+H14
S230700,H11
S230701,H11
S230702,H11
S230703,H11
S230704,H11+H14
S230705,H11+H14
S231700,H11
S231701,H11
S231702,H11
S231703,H11
S231704,H11
S231705,H11+H14
S231706,H11+H14
S232700,H11
S232701,H11
S232702,H11
S232703,H11
S232704,H11
S232705,H11
S232706,H11+H14
S233700,H11
S233701,H11
S233702,H11
S233703,H11
S233704,H11
S233705,H11
S233706,H11+H14
S233707,H11+H14
S234700,H11
S234701,H11
S234702,H11
S234703,H11
S234704,H11
S234705,H11
S234706,H11
S234707,H11+H14
S234708,H11+H14
S234709,H11+H14
S235700,H11
S235701,H11
S235702,H11
S235703,H11
S235704,H11
S235705,H11
S235706,H11
S235707,H11
S235708,H11
S235709,H11+H14
S236700,H11
S236701,H11
S236702,H11
S236703,H11
S236704,H11
S236705,H11
S236706,H11
S236707,H11
S236708,H11
S236709,H11+H14
S237700,H11
S237701,H11
S237702,H11
S237703,H11
S237704,H11
S237705,H11
S237706,H11
S237707,H11
S237708,H11
S237709,H11+H14
S238700,H11
S238701,H11
S238702,H11
S238703,H11
S238704,H11
S238705,H11
S238706,H11
S238707,H11
S238708,H11
S238709,H11+H14
S239700,H11
S239701,H11
S239702,H11
S239703,H11
S239704,H11
S239705,H11
S239706,H11
S239707,H11
S239708,H11
S239709,H11+H14
S2371,H11+H14
S237710,H11+H14
S238710,H11+H14
S27K,H11+H14
S2470,H11+H14
S240700,H11
S240701,H11
S240702,H11
S240703,H11
S240704,H11
S240705,H11
S240706,H11
S240707,H11
S240708,H11+H14
S240709,H11+H14
S241700,H11
S241701,H11
S241702,H11
S241703,H11
S241704,H11
S241705,H11
S241706,H11
S241707,H11
S241708,H11+H14
S242700,H11
S242701,H11
S242702,H11
S242703,H11
S242704,H11
S242705,H11
S242706,H11
S242707,H11
S242708,H11+H14
S243700,H11
S243701,H11
S243702,H11
S243703,H11
S243704,H11
S243705,H11
S243706,H11
S243707,H11
S243708,H11+H14
S244700,H11
S244701,H11
S244702,H11
S244703,H11
S244704,H11
S244705,H11
S244706,H11
S244707,H11+H14
S244708,H11+H14
S245700,H11
S245701,H11
S245702,H11
S245703,H11
S245704,H11
S245705,H11
S245706,H11
S245707,H11+H14
S246700,H11
S246701,H11
S246702,H11
S246703,H11
S246704,H11
S246705,H11
S246706,H11
S246707,H11+H14
S247700,H11
S247701,H11
S247702,H11
S247703,H11
S247704,H11
S247705,H11
S247706,H11
S247707,H11+H14
S247708,H11+H14
S248700,H11
S248701,H11
S248702,H11
S248703,H11
S248704,H11
S248705,H11
S248706,H11
S248707,H11
S248708,H11+H14
S249700,H11
S249701,H11
S249702,H11
S249703,H11
S249704,H11
S249705,H11
S249706,H11
S249707,H11
S249708,H11+H14
S2570,H11+H14
S250700,H11
S250701,H11
S250702,H11
S250703,H11
S250704,H11
S250705,H11
S250706,H11
S250707,H11
S250708,H11+H14
S250709,H11+H14
S251700,H11
S251701,H11
S251702,H11
S251703,H11
S251704,H11
S251705,H11
S251706,H11
S251707,H11
S251708,H11
S251709,H11+H14
S252700,H11
S252701,H11
S252702,H11
S252703,H11
S252704,H11
S252705,H11
S252706,H11
S252707,H11
S252708,H11
S252709,H11+H14
S253700,H11
S253701,H11
S253702,H11
S253703,H11
S253704,H11
S253705,H11
S253706,H11
S253707,H11
S253708,H11
S253709,H11+H14
S254700,H11
S254701,H11
S254702,H11
S254703,H11
S254704,H11
S254705,H11
S254706,H11
S254707,H11
S254708,H11
S254709,H11+H14
