R,H0+H2+H4+H5+H6+H7+H8+H9+H10+H15+H18
R097292,H8
R097293,H8
R097294,H8
R097295,H8
R097296,H8
R097297,H8
R097298,H8
R097299,H8
R098290,H8
R098291,H8
R098292,H8
R098293,H8
R098294,H8
R098295,H8
R098296,H8
R098297,H8
R098298,H8
R098299,H8
R099290,H8
R099291,H8
R099292,H8
R099293,H8
R099294,H8
R099295,H8
R099296,H8
R099297,H8
R099298,H8
R099299,H8
R03,H2+H8
R03SE,H2+H8
R03NE,H2+H8
R03V,H2+H8
R0930,H2+H8
R091300,H2+H8
R092300,H2+H8
R092301,H2+H8
R093300,H8
R093301,H2+H8
R093302,H2+H8
R094300,H8
R094301,H8
R094302,H2+H8
R094303,H2+H8
R094304,H2+H8
R095300,H8
R095301,H8
R095302,H8
R095303,H8
R095304,H2+H8
R095305,H2+H8
R095306,H2+H8
R095307,H2+H8
R096300,H8
R096301,H8
R096302,H8
R096303,H8
R096304,H8
R096305,H8
R096306,H8
R096307,H2+H8
R096308,H2+H8
R097300,H8
R097301,H8
R097302,H8
R097303,H8
R097304,H8
R097305,H8
R097306,H8
R097307,H8
R097308,H2+H8
R097309,H2+H8
R098300,H8
R098301,H8
R098302,H8
R098303,H8
R098304,H8
R098305,H8
R098306,H8
R098307,H8
R098308,H8
R098309,H8
R099300,H8
R099301,H8
R099302,H8
R099303,H8
R099304,H8
R099305,H8
R099306,H8
R099307,H8
R099308,H8
R099309,H8
R0931,H2+H8
R097310,H2+H8
R098310,H2+H8
R098311,H2+H8
R099310,H8
R099311,H2+H8
R03W,H2+H8
R0933,H2+H8
R095339,H2+H8
R096338,H2+H8
R096339,H2+H8
R097334,H2+H8
R097335,H2+H8
R097336,H2+H8
R097337,H2+H8
R097338,H2+H8
R097339,H8
R098332,H2+H8
R098333,H2+H8
R098334,H2+H8
R098335,H8
R098336,H8
R098337,H8
R098338,H8
R098339,H8
R099331,H2+H8
R099332,H2+H8
R099333,H8
R099334,H8
R099335,H8
R099336,H8
R099337,H8
R099338,H8
R099339,H8
R03X,H2+H8
R0934,H2+H8
R092349,H2+H8
R093348,H2+H8
R093349,H2+H8
R094345,H2+H8
R094346,H2+H8
R094347,H2+H8
R094348,H2+H8
R094349,H8
R095340,H2+H8
R095341,H2+H8
R095342,H2+H8
R095343,H2+H8
R095344,H2+H8
R095345,H2+H8
R095346,H8
R095347,H8
R095348,H8
R095349,H8
R096340,H8
R096341,H8
R096342,H2+H8
R096343,H8
R096344,H8
R096345,H8
R096346,H8
R096347,H8
R096348,H8
R096349,H8
R097340,H8
R097341,H8
R097342,H8
R097343,H8
R097344,H8
R097345,H8
R097346,H8
R097347,H8
R097348,H8
R097349,H8
R098340,H8
R098341,H8
R098342,H8
R098343,H8
R098344,H8
R098345,H8
R098346,H8
R098347,H8
R098348,H8
R098349,H8
R099340,H8
R099341,H8
R099342,H8
R099343,H8
R099344,H8
R099345,H8
R099346,H8
R099347,H8
