R,H0+H2+H4+H5+H6+H7+H8+H9+H10+H15+H18
R00,H2
R01,H2
R02,H2+H8
R02SW,H2
R02NW,H2
R02SE,H2+H8
R02NE,H2+H8
R02A,H2
R02B,H2
R02C,H2
R02D,H2
R02E,H2
R02F,H2
R02G,H2
R02H,H2
R02I,H2
R02J,H2
R02K,H2
R02L,H2
R02M,H2
R02N,H2
R02P,H2
R02Q,H2
R02R,H2
R02S,H2
R02T,H2
R02U,H2
R02V,H2
R02W,H2+H8
R0822,H2
R0823,H2+H8
R080230,H2
R080231,H2
R080232,H2
R080233,H2
R080234,H2
R080235,H2
R080236,H2
R080237,H2
R080238,H2
R080239,H2
R081230,H2
R081231,H2
R081232,H2
R081233,H2
R081234,H2
R081235,H2
R081236,H2
R081237,H2
R081238,H2
R081239,H2
R082230,H2
R082231,H2
R082232,H2
R082233,H2
R082234,H2
R082235,H2
R082236,H2
R082237,H2
R082238,H2
R082239,H2
R083230,H2
R083231,H2
R083232,H2
R083233,H2
R083234,H2
R083235,H2
R083236,H2
R083237,H2
R083238,H2
R083239,H2
R084230,H2
R084231,H2
R084232,H2
R084233,H2
R084234,H2
R084235,H2
R084236,H2
R084237,H2
R084238,H2
R084239,H2
R085230,H2
R085231,H2
R085232,H2
R085233,H2
R085234,H2
R085235,H2
R085236,H2
R085237,H2+H8
R085238,H2+H8
R085239,H2+H8
R086230,H2
R086231,H2
R086232,H2
R086233,H2
R086234,H2
R086235,H2
R086236,H2+H8
R086237,H2+H8
R087230,H2
R087231,H2
R087232,H2+H8
R087233,H2+H8
R087234,H2+H8
R087235,H2+H8
R087236,H2+H8
R088230,H2
R088231,H2
R088232,H2+H8
R089230,H2
R089231,H2
R089232,H2+H8
R089233,H2+H8
R0922,H2+H8
R090220,H2
R090221,H2
R090222,H2
R090223,H2
R090224,H2
R090225,H2
R090226,H2
R090227,H2
R090228,H2
R090229,H2
R091220,H2
R091221,H2
R091222,H2
R091223,H2
R091224,H2
R091225,H2
R091226,H2
R091227,H2
R091228,H2
R091229,H2
R092220,H2
R092221,H2
R092222,H2
R092223,H2
R092224,H2
R092225,H2
R092226,H2
R092227,H2
R092228,H2
R092229,H2
R093220,H2
R093221,H2
R093222,H2
R093223,H2
R093224,H2
R093225,H2
R093226,H2
R093227,H2
R093228,H2
R093229,H2
R094220,H2
R094221,H2
R094222,H2
R094223,H2
R094224,H2
R094225,H2
R094226,H2
R094227,H2
R094228,H2
R094229,H2
R095220,H2
R095221,H2
R095222,H2
R095223,H2
R095224,H2
R095225,H2
R095226,H2
R095227,H2
R095228,H2
R095229,H2
R096220,H2
R096221,H2
R096222,H2
R096223,H2
R096224,H2
R096225,H2
R096226,H2
R096227,H2
R096228,H2
R096229,H2+H8
R097220,H2
R097221,H2
R097222,H2
R097223,H2
R097224,H2
R097225,H2
R097226,H2
R097227,H2
R097228,H2+H8
R097229,H2+H8
R098220,H2
R098221,H2
R098222,H2
R098223,H2
R098224,H2
R098225,H2
R098226,H2
R098227,H2
R098228,H2+H8
R099220,H2
R099221,H2
