R,H0+H2+H4+H5+H6+H7+H8+H9+H10+H15+H18
R50,H4+H5
R50SW,H4+H5
R50NW,H4+H5
R50SE,H5
R50NE,H5
R50G,H4+H5
R5303,H4+H5
R536038,H4+H5
R536039,H4+H5
R537036,H4+H5
R537037,H4+H5
R537038,H4+H5
R537039,H5
R538034,H4+H5
R538035,H4+H5
R538036,H4+H5
R538037,H5
R538038,H5
R538039,H5
R539032,H4+H5
R539033,H4+H5
R539034,H4+H5
R539035,H5
R539036,H5
R539037,H5
R539038,H5
R539039,H5
R50H,H4+H5
R5304,H4+H5
R533045,H4+H5
R533046,H4+H5
R533047,H4+H5
R533048,H4+H5
R533049,H4+H5
R534042,H4+H5
R534043,H4+H5
R534044,H4+H5
R534045,H4+H5
R534046,H5
R534047,H5
R534048,H5
R534049,H5
R535040,H4+H5
R535041,H4+H5
R535042,H4+H5
R535043,H5
R535044,H5
R535045,H5
R535046,H5
R535047,H5
R535048,H5
R535049,H5
R536040,H4+H5
R536041,H5
R536042,H5
R536043,H5
R536044,H5
R536045,H5
R536046,H5
R536047,H5
R536048,H5
R536049,H5
R537040,H5
R537041,H5
R537042,H5
R537043,H5
R537044,H5
R537045,H5
R537046,H5
R537047,H5
R537048,H5
R537049,H5
R538040,H5
R538041,H5
R538042,H5
R538043,H5
R538044,H5
R538045,H5
R538046,H5
R538047,H5
R538048,H5
R538049,H5
R539040,H5
R539041,H5
R539042,H5
R539043,H5
R539044,H5
R539045,H5
R539046,H5
R539047,H5
R539048,H5
R539049,H5
R5305,H4+H5
R532058,H4+H5
R532059,H4+H5
R533050,H4+H5
R533051,H4+H5
R533052,H4+H5
R533053,H4+H5
R533054,H4+H5
R533055,H4+H5
R533056,H4+H5
R533057,H4+H5
R533058,H4+H5
R533059,H5
R534050,H5
R534051,H5
R534052,H5
R534053,H5
R534054,H5
R534055,H5
R534056,H5
R534057,H5
R534058,H5
R534059,H5
R535050,H5
R535051,H5
R535052,H5
R535053,H5
R535054,H5
R535055,H5
R535056,H5
R535057,H5
R535058,H5
R535059,H5
R536050,H5
R536051,H5
R536052,H5
R536053,H5
R536054,H5
R536055,H5
R536056,H5
R536057,H5
R536058,H5
R536059,H5
R537050,H5
R537051,H5
R537052,H5
R537053,H5
R537054,H5
R537055,H5
R537056,H5
R537057,H5
R537058,H5
R537059,H5
R538050,H5
R538051,H5
R538052,H5
R538053,H5
R538054,H5
R538055,H5
R538056,H5
R538057,H5
R538058,H5
R538059,H5
R539050,H5
R539051,H5
R539052,H5
R539053,H5
R539054,H5
R539055,H5
R539056,H5
R539057,H5
R539058,H5
R539059,H5
R50I,H4+H5
R5206,H4+H5
R525068,H4+H5
R525069,H4+H5
R526066,H4+H5
R526067,H4+H5
R526068,H4+H5
R526069,H5
R527064,H4+H5
R527065,H4+H5
R527066,H4+H5
R527067,H5
R527068,H5
R527069,H5
R528063,H4+H5
R528064,H4+H5
R528065,H5
R528066,H5
R528067,H5
R528068,H5
R528069,H5
R529062,H4+H5
R529063,H4+H5
R529064,H5
R529065,H5
R529066,H5
R529067,H5
R529068,H5
R529069,H5
R5207,H4+H5
R525070,H4+H5
R525071,H4+H5
R525072,H4+H5
R525073,H4+H5
R525074,H4+H5
R525075,H4+H5
R525076,H4+H5
R526070,H5
R526071,H5
R526072,H5
R526073,H5
R526074,H5
R526075,H5
R526076,H4+H5
R526077,H4+H5
R526078,H4+H5
R526079,H4+H5
R527070,H5
R527071,H5
R527072,H5
R527073,H5
R527074,H5
R527075,H5
R527076,H5
R527077,H5
R527078,H5
R527079,H4+H5
R528070,H5
R528071,H5
