J,H0+H31+H36+H37+H38+H39
J01,H0+H31+H37
J01SW,H31+H37
J01NW,H31+H37
J01SE,H0+H31+H37
J01NE,H31+H37
J01B,H31+H37
J0113,H31+H37
J015138,H31+H37
J015139,H31+H37
J016134,H31+H37
J016135,H31+H37
J016136,H31+H37
J016137,H31+H37
J016138,H31+H37
J016139,H31+H37
J017133,H31+H37
J017134,H31+H37
J017135,H37
J017136,H37
J017137,H37
J017138,H37
J017139,H37
J018132,H31+H37
J018133,H31+H37
J018134,H37
J018135,H37
J018136,H37
J018137,H37
J018138,H37
J018139,H37
J019130,H31+H37
J019131,H31+H37
J019132,H31+H37
J019133,H37
J019134,H37
J019135,H37
J019136,H37
J019137,H37
J019138,H37
J019139,H37
J01C,H31+H37
J0014,H31+H37
J000140,H31+H37
J000141,H31+H37
J000142,H31+H37
J000149,H31+H37
J001140,H31+H37
J001141,H31+H37
J001148,H31+H37
J001149,H31+H37
J002148,H31+H37
J002149,H31+H37
J003149,H31+H37
J004148,H31+H37
J004149,H31+H37
J005147,H31+H37
J005148,H31+H37
J005149,H37
J006145,H31+H37
J006146,H31+H37
J006147,H31+H37
J006148,H37
J006149,H37
J007145,H31+H37
J007146,H37
J007147,H37
J007148,H37
J007149,H37
J008145,H31+H37
J008146,H31+H37
J008147,H37
J008148,H37
J008149,H37
J009146,H31+H37
J009147,H31+H37
J009148,H37
J009149,H37
J0015,H31+H37
J000150,H31+H37
J000151,H37
J000152,H37
J000153,H37
J000154,H37
J000155,H37
J000156,H37
J000157,H37
J000158,H37
J000159,H37
J001150,H37
J001151,H37
J001152,H37
J001153,H37
J001154,H37
J001155,H37
J001156,H37
J001157,H37
J001158,H37
J001159,H37
J002150,H37
J002151,H37
J002152,H37
J002153,H37
J002154,H37
J002155,H37
J002156,H37
J002157,H37
J002158,H37
J002159,H37
J003150,H37
J003151,H37
J003152,H37
J003153,H37
J003154,H37
J003155,H37
J003156,H37
J003157,H37
J003158,H37
J003159,H37
J004150,H37
J004151,H37
J004152,H37
J004153,H37
J004154,H37
J004155,H37
J004156,H37
J004157,H37
J004158,H37
J004159,H37
J005150,H37
J005151,H37
J005152,H37
J005153,H37
J005154,H37
J005155,H37
J005156,H37
J005157,H37
J005158,H37
J005159,H37
J006150,H37
J006151,H37
J006152,H37
J006153,H37
J006154,H37
J006155,H37
J006156,H37
J006157,H37
J006158,H37
J006159,H37
J007150,H37
J007151,H37
J007152,H37
J007153,H37
J007154,H37
J007155,H37
J007156,H37
J007157,H37
J007158,H37
J007159,H37
J008150,H37
J008151,H37
J008152,H37
J008153,H37
J008154,H37
J008155,H37
J008156,H37
J008157,H37
J008158,H37
J008159,H37
J009150,H37
J009151,H37
J009152,H37
J009153,H37
J009154,H37
J009155,H37
J009156,H37
J009157,H37
J009158,H37
J009159,H37
J0114,H31+H37
J010147,H31+H37
J010148,H31+H37
J010149,H37
J011146,H31+H37
J011147,H31+H37
J011148,H31+H37
J011149,H37
J012144,H31+H37
J012145,H31+H37
J012146,H31+H37
J012147,H37
J012148,H37
J012149,H37
J013143,H31+H37
J013144,H31+H37
J013145,H37
J013146,H37
J013147,H37
J013148,H37
J013149,H37
J014141,H31+H37
J014142,H31+H37
J014143,H31+H37
J014144,H37
J014145,H37
J014146,H37
J014147,H37
J014148,H37
J014149,H37
J015140,H31+H37
J015141,H31+H37
J015142,H31+H37
J015143,H31+H37
J015144,H37
J015145,H37
J015146,H37
J015147,H37
J015148,H37
J015149,H37
J016140,H37
J016141,H37
J016142,H37
J016143,H37
J016144,H37
J016145,H37
J016146,H37
J016147,H37
J016148,H37
J016149,H37
J017140,H37
J017141,H37
J017142,H37
J017143,H37
J017144,H37
J017145,H37
J017146,H37
J017147,H37
J017148,H37
J017149,H37
J018140,H37
J018141,H37
J018142,H37
J018143,H37
J018144,H37
J018145,H37
J018146,H37
J018147,H37
J018148,H37
J018149,H37
J019140,H37
J019141,H37
J019142,H37
J019143,H37
J019144,H37
J019145,H37
J019146,H37
J019147,H37
J019148,H37
J019149,H37
J0115,H37
J01D,H37
J01E,H37
J01G,H31+H37
J0213,H31+H37
J020130,H31+H37
J020131,H31+H37
J020132,H37
J020133,H37
J020134,H37
J020135,H37
J020136,H37
J020137,H37
J020138,H37
J020139,H37
J021131,H31+H37
J021132,H37
J021133,H37
J021134,H37
J021135,H37
J021136,H37
J021137,H37
J021138,H37
J021139,H37
J022131,H31+H37
J022132,H31+H37
J022133,H37
J022134,H37
J022135,H37
J022136,H37
J022137,H37
J022138,H37
J022139,H37
J023131,H31+H37
J023132,H37
J023133,H37
J023134,H37
J023135,H37
J023136,H37
J023137,H37
J023138,H37
J023139,H37
J024131,H31+H37
J024132,H31+H37
J024133,H31+H37
J024134,H37
J024135,H37
J024136,H37
J024137,H37
J024138,H37
J024139,H37
J025133,H31+H37
J025134,H31+H37
J025135,H37
J025136,H37
J025137,H37
J025138,H37
J025139,H37
J026133,H31+H37
J026134,H31+H37
J026135,H31+H37
J026136,H37
J026137,H37
J026138,H37
J026139,H37
J027133,H31+H37
J027134,H37
J027135,H37
J027136,H37
J027137,H37
J027138,H37
J027139,H37
J028132,H31+H37
J028133,H31+H37
J028134,H37
J028135,H37
J028136,H37
J028137,H37
J028138,H37
J028139,H37
J029133,H31+H37
J029134,H31+H37
J029135,H31+H37
J029136,H37
J029137,H37
J029138,H37
J029139,H37
J0313,H31+H37
J030135,H31+H37
J030136,H37
J030137,H37
J030138,H37
J030139,H37
J031135,H31+H37
J031136,H37
J031137,H37
J031138,H37
J031139,H37
J032135,H31+H37
J032136,H37
J032137,H37
J032138,H37
J032139,H37
J033134,H31+H37
J033135,H31+H37
J033136,H37
J033137,H37
J033138,H37
J033139,H37
J034133,H31+H37
J034134,H31+H37
J034135,H37
J034136,H37
J034137,H37
J034138,H37
J034139,H37
J035134,H31+H37
J035135,H31+H37
J035136,H31+H37
J035137,H37
J035138,H37
J035139,H37
J036136,H31+H37
J036137,H31+H37
J036138,H37
J036139,H37
J037137,H31+H37
J037138,H37
J037139,H37
J038136,H31+H37
J038137,H31+H37
J038138,H37
J038139,H37
J039137,H31+H37
J039138,H37
J039139,H37
J01H,H37
J01I,H37
J01J,H37
J01L,H31+H37
J0413,H31+H37
J040137,H31+H37
J040138,H31+H37
J040139,H37
J041137,H31+H37
J041138,H37
J041139,H37
J042137,H31+H37
J042138,H37
J042139,H37
J043137,H31+H37
J043138,H37
J043139,H37
J044137,H31+H37
J044138,H37
J044139,H37
J045137,H31+H37
J045138,H37
J045139,H37
J046137,H31+H37
J046138,H37
J046139,H37
J047136,H31+H37
J047137,H31+H37
J047138,H37
J047139,H37
J048136,H31+H37
J048137,H37
J048138,H37
J048139,H37
J049136,H31+H37
J049137,H37
J049138,H37
J049139,H37
J0513,H31+H37
J050136,H31+H37
J050137,H37
J050138,H37
J050139,H37
J051136,H31+H37
J051137,H37
J051138,H37
J051139,H37
J052135,H31+H37
J052136,H31+H37
J052137,H37
J052138,H37
J052139,H37
J053133,H31+H37
J053134,H31+H37
J053135,H31+H37
J053136,H37
J053137,H37
J053138,H37
J053139,H37
J054133,H31+H37
J054134,H31+H37
J054135,H31+H37
J054136,H37
J054137,H37
J054138,H37
J054139,H37
J055135,H31+H37
J055136,H31+H37
J055137,H37
J055138,H37
J055139,H37
J056136,H31+H37
J056137,H31+H37
J056138,H31+H37
J056139,H37
J057138,H31+H37
J057139,H31+H37
J01M,H31+H37
J0414,H37
J0415,H37
J0514,H31+H37
J050140,H37
J050141,H37
J050142,H37
J050143,H37
J050144,H37
J050145,H37
J050146,H37
J050147,H37
J050148,H37
J050149,H37
J051140,H37
J051141,H37
J051142,H37
J051143,H37
J051144,H37
J051145,H37
J051146,H37
J051147,H37
J051148,H37
J051149,H37
J052140,H37
J052141,H37
J052142,H37
J052143,H37
J052144,H37
J052145,H37
J052146,H37
J052147,H37
J052148,H37
J052149,H37
J053140,H37
J053141,H37
J053142,H37
J053143,H37
J053144,H37
J053145,H37
J053146,H37
J053147,H37
J053148,H37
J053149,H37
J054140,H37
J054141,H37
J054142,H37
J054143,H37
J054144,H37
J054145,H37
J054146,H37
J054147,H37
J054148,H37
J054149,H37
J055140,H37
J055141,H37
J055142,H37
J055143,H37
J055144,H37
J055145,H37
J055146,H37
J055147,H37
J055148,H37
J055149,H37
J056140,H37
J056141,H37
J056142,H37
J056143,H37
J056144,H37
J056145,H37
J056146,H37
J056147,H37
J056148,H37
J056149,H37
J057140,H31+H37
J057141,H31+H37
J057142,H37
J057143,H37
J057144,H37
J057145,H37
J057146,H37
J057147,H37
J057148,H37
J057149,H37
J058141,H31+H37
J058142,H31+H37
J058143,H31+H37
J058144,H31+H37
J058145,H37
J058146,H37
J058147,H37
J058148,H37
J058149,H37
J059144,H31+H37
J059145,H37
J059146,H37
J059147,H37
J059148,H37
J059149,H37
J0515,H37
J01N,H37
J01P,H37
J01S,H31+H37
J0614,H31+H37
J060144,H31+H37
J060145,H31+H37
J060146,H37
J060147,H37
J060148,H37
J060149,H37
J061145,H31+H37
J061146,H37
J061147,H37
J061148,H37
J061149,H37
J062145,H31+H37
J062146,H31+H37
J062147,H37
J062148,H37
J062149,H37
J063145,H31+H37
J063146,H37
J063147,H37
J063148,H37
J063149,H37
J064145,H31+H37
J064146,H37
J064147,H37
J064148,H37
J064149,H37
J065145,H31+H37
J065146,H31+H37
J065147,H37
J065148,H37
J065149,H37
J066146,H31+H37
J066147,H37
J066148,H37
J066149,H37
J067146,H31+H37
J067147,H37
J067148,H37
J067149,H37
J068146,H31+H37
J068147,H37
J068148,H37
J068149,H37
J069146,H31+H37
J069147,H31+H37
J069148,H37
J069149,H37
J0615,H37
J0714,H31+H37
J070147,H31+H37
J070148,H31+H37
J070149,H37
J071148,H31+H37
J071149,H31+H37
J0715,H31+H37
J070150,H37
J070151,H37
J070152,H37
J070153,H37
J070154,H37
J070155,H37
J070156,H37
J070157,H37
J070158,H37
J070159,H37
J071150,H31+H37
J071151,H37
J071152,H37
J071153,H37
J071154,H37
J071155,H37
J071156,H37
J071157,H37
J071158,H37
J071159,H31+H37
J072150,H31+H37
J072151,H31+H37
J072152,H31+H37
J072153,H31+H37
J072154,H31+H37
J072155,H31+H37
J072156,H31+H37
J072157,H31+H37
J072158,H31+H37
J072159,H31+H37
J01T,H31+H37
J0616,H37
J0617,H31+H37
J060170,H37
J060171,H37
J060172,H37
J060173,H37
J060174,H37
J060175,H37
J060176,H37
J060177,H37
J060178,H37
J060179,H37
J061170,H37
J061171,H37
J061172,H37
J061173,H37
J061174,H37
J061175,H37
J061176,H37
J061177,H37
J061178,H37
J061179,H37
J062170,H37
J062171,H37
J062172,H37
J062173,H37
J062174,H37
J062175,H37
J062176,H37
J062177,H37
J062178,H37
J062179,H37
J063170,H37
J063171,H37
J063172,H37
J063173,H37
J063174,H37
J063175,H37
J063176,H37
J063177,H37
J063178,H37
J063179,H37
J064170,H37
J064171,H37
J064172,H37
J064173,H37
