N,H10+H14+H15+H18+H19+H20+H21+H22+H23+H24+H25+H29+H30+H31+H32
N20,H14+H18
N20SW,H14+H18
N20NW,H14+H18
N20SE,H14+H18
N20NE,H14+H18
N20F,H14+H18
N2200,H14+H18
N229000,H14+H18
N2300,H14+H18
N230000,H14+H18
N230001,H14+H18
N231000,H14
N231001,H14+H18
N231002,H14+H18
N232000,H14
N232001,H14
N232002,H14+H18
N232003,H14+H18
N233000,H14
N233001,H14
N233002,H14
N233003,H14+H18
N234000,H14
N234001,H14
N234002,H14
N234003,H14+H18
N234004,H14+H18
N235000,H14
N235001,H14
N235002,H14
N235003,H14
N235004,H14+H18
N235005,H14+H18
N236000,H14
N236001,H14
N236002,H14
N236003,H14
N236004,H14
N236005,H14+H18
N236006,H14+H18
N237000,H14
N237001,H14
N237002,H14
N237003,H14
N237004,H14
N237005,H14
N237006,H14+H18
N237007,H14+H18
N238000,H14
N238001,H14
N238002,H14
N238003,H14
N238004,H14
N238005,H14
N238006,H14
N238007,H14+H18
N238008,H14+H18
N239000,H14
N239001,H14
N239002,H14
N239003,H14
N239004,H14
N239005,H14
N239006,H14
N239007,H14
N239008,H14+H18
N239009,H14+H18
N20K,H14+H18
N2400,H14+H18
N240000,H14
N240001,H14
N240002,H14
N240003,H14
N240004,H14
N240005,H14
N240006,H14
N240007,H14
N240008,H14
N240009,H14+H18
N241000,H14
N241001,H14
N241002,H14
N241003,H14
N241004,H14
N241005,H14
N241006,H14
N241007,H14
N241008,H14
N241009,H14
N242000,H14
N242001,H14
N242002,H14
N242003,H14
N242004,H14
N242005,H14
N242006,H14
N242007,H14
N242008,H14
N242009,H14
N243000,H14
N243001,H14
N243002,H14
N243003,H14
N243004,H14
N243005,H14
N243006,H14
N243007,H14
N243008,H14
N243009,H14
N244000,H14
N244001,H14
N244002,H14
N244003,H14
N244004,H14
N244005,H14
N244006,H14
N244007,H14
N244008,H14
N244009,H14
N245000,H14
N245001,H14
N245002,H14
N245003,H14
N245004,H14
N245005,H14
N245006,H14
N245007,H14
N245008,H14
N245009,H14
N246000,H14
N246001,H14
N246002,H14
N246003,H14
N246004,H14
N246005,H14
N246006,H14
N246007,H14
N246008,H14
N246009,H14
N247000,H14
N247001,H14
N247002,H14
N247003,H14
N247004,H14
N247005,H14
N247006,H14
N247007,H14
N247008,H14
N247009,H14
N248000,H14
N248001,H14
N248002,H14
N248003,H14
N248004,H14
N248005,H14
N248006,H14
N248007,H14
N248008,H14
N248009,H14
N249000,H14
N249001,H14
N249002,H14
N249003,H14
N249004,H14
N249005,H14
N249006,H14
N249007,H14
N249008,H14
N249009,H14
N2401,H14+H18
N240010,H14+H18
N241010,H14+H18
N241011,H14+H18
N242010,H14
N242011,H14+H18
N242012,H14+H18
N243010,H14
N243011,H14
N243012,H14+H18
N244010,H14
N244011,H14
N244012,H14+H18
N244013,H14+H18
N245010,H14
N245011,H14
N245012,H14
N245013,H14+H18
N246010,H14
N246011,H14
N246012,H14
N246013,H14+H18
N246014,H14+H18
N247010,H14
N247011,H14
N247012,H14
N247013,H14
N247014,H14+H18
N248010,H14
N248011,H14
N248012,H14
N248013,H14
N248014,H14+H18
N248015,H14+H18
N249010,H14
N249011,H14
N249012,H14
N249013,H14
N249014,H14
N249015,H14+H18
N2500,H14
N2501,H14+H18
N250010,H14
N250011,H14
N250012,H14
N250013,H14
N250014,H14
N250015,H14+H18
N250016,H14+H18
N251010,H14
N251011,H14
N251012,H14
N251013,H14
N251014,H14
N251015,H14
N251016,H14+H18
N252010,H14
N252011,H14
N252012,H14
N252013,H14
N252014,H14
N252015,H14
N252016,H14+H18
N252017,H14+H18
N253010,H14
N253011,H14
N253012,H14
N253013,H14
N253014,H14
N253015,H14
N253016,H14
N253017,H14+H18
N253018,H14+H18
N254010,H14
N254011,H14
N254012,H14
N254013,H14
N254014,H14
N254015,H14
N254016,H14
N254017,H14
N254018,H14+H18
N254019,H14+H18
N255010,H14
N255011,H14
N255012,H14
N255013,H14
N255014,H14
N255015,H14
N255016,H14
N255017,H14
N255018,H14
N255019,H14+H18
N256010,H14
N256011,H14
N256012,H14
N256013,H14
N256014,H14
N256015,H14
N256016,H14
N256017,H14
N256018,H14
N256019,H14
N257010,H14
N257011,H14
N257012,H14
N257013,H14
N257014,H14
N257015,H14
N257016,H14
N257017,H14
N257018,H14
N257019,H14
N258010,H14
N258011,H14
N258012,H14
N258013,H14
