N,H10+H14+H15+H18+H19+H20+H21+H22+H23+H24+H25+H29+H30+H31+H32
R398954,H9+H15
R398955,H9+H15
R398956,H15
R398957,H15
R398958,H15
R398959,H9+H15
R399950,H15
R399951,H15
R399952,H9+H15
R399953,H9+H15
R399954,H15
R399955,H15
R399956,H15
R399957,H15
R399958,H15
R399959,H9+H15
R39Y,H9+H15
R3996,H9+H15
R397960,H9+H15
R39Z,H9+H15
R3998,H9+H15
R396983,H9+H15
R396984,H9+H15
R396985,H9+H15
R396986,H9+H15
R396988,H9+H15
R396989,H9+H15
R397983,H9+H15
R397984,H15
R397985,H15
R397986,H9+H15
R397987,H9+H15
R397988,H9+H15
R397989,H9+H15
R398982,H9+H15
R398983,H9+H15
R398984,H15
R398985,H15
R398986,H15
R398987,H15
R398988,H15
R398989,H15
R399981,H9+H15
R399982,H9+H15
R399983,H15
R399984,H15
R399985,H15
R399986,H15
R399987,H15
R399988,H15
R399989,H15
R3999,H9+H15
R395998,H9+H15
R396994,H9+H15
R396995,H9+H15
R396996,H9+H15
R396997,H9+H15
R396998,H9+H15
R396999,H9+H15
R397990,H9+H15
R397991,H9+H15
R397992,H9+H15
R397993,H9+H15
R397994,H9+H15
R397995,H15
R397996,H15
R397997,H15
R397998,H15
R397999,H15
R398990,H15
R398991,H15
R398992,H15
R398993,H15
R398994,H15
R398995,H15
R398996,H15
R398997,H15
R398998,H15
R398999,H15
R399990,H15
R399991,H15
R399992,H15
R399993,H15
R399994,H15
R399995,H15
R399996,H15
R399997,H15
R399998,H15
R399999,H15
R49,H9+H15
R49SW,H9+H15
R49NW,H9+H15
R49SE,H9+H15
R49NE,H15
R49B,H9+H15
R4092,H9+H15
R405922,H9+H15
R405923,H9+H15
R405924,H9+H15
R406921,H9+H15
R406922,H9+H15
R406923,H15
R406924,H9+H15
R406925,H9+H15
R406926,H9+H15
R406927,H9+H15
R406928,H9+H15
R406929,H9+H15
R407920,H9+H15
R407921,H9+H15
R407922,H15
R407923,H15
R407924,H15
R407925,H15
R407926,H15
R407927,H15
R407928,H15
R407929,H15
R408921,H9+H15
R408922,H15
R408923,H15
R408924,H15
R408925,H15
R408926,H15
R408927,H15
R408928,H15
R408929,H15
R409921,H9+H15
R409922,H9+H15
R409923,H15
R409924,H15
R409925,H15
R409926,H15
R409927,H15
R409928,H15
R409929,H15
R4093,H9+H15
R402936,H9+H15
R402937,H9+H15
R402938,H9+H15
R403934,H9+H15
R403935,H9+H15
R403936,H9+H15
R403937,H9+H15
R403938,H9+H15
R403939,H9+H15
R404932,H9+H15
R404933,H9+H15
R404934,H9+H15
R404935,H15
R404936,H15
R404937,H15
R404938,H15
R404939,H15
R405931,H9+H15
R405932,H9+H15
R405933,H15
R405934,H15
R405935,H15
R405936,H15
R405937,H15
R405938,H15
R405939,H15
R406930,H9+H15
R406931,H9+H15
R406932,H15
R406933,H15
R406934,H15
R406935,H15
R406936,H15
R406937,H15
R406938,H15
R406939,H15
R407930,H15
R407931,H15
R407932,H15
R407933,H15
R407934,H15
R407935,H15
R407936,H15
R407937,H15
R407938,H15
R407939,H15
R408930,H15
R408931,H15
R408932,H15
R408933,H15
R408934,H15
R408935,H15
R408936,H15
R408937,H15
R408938,H15
R408939,H15
R409930,H15
R409931,H15
R409932,H15
R409933,H15
R409934,H15
R409935,H15
R409936,H15
R409937,H15
R409938,H15
R409939,H15
R4192,H9+H15
R410922,H9+H15
R410923,H9+H15
R410924,H15
R410925,H15
R410926,H15
R410927,H15
R410928,H15
R410929,H15
R411923,H9+H15
R411924,H9+H15
R411925,H15
R411926,H15
R411927,H15
R411928,H15
R411929,H15
R412924,H9+H15
R412925,H15
R412926,H15
R412927,H15
R412928,H15
R412929,H15
R413924,H9+H15
R413925,H15
R413926,H15
R413927,H15
R413928,H15
R413929,H15
R414924,H9+H15
R414925,H15
R414926,H15
R414927,H15
R414928,H15
R414929,H15
R415923,H9+H15
R415924,H9+H15
R415925,H15
R415926,H15
R415927,H15
R415928,H15
R415929,H15
R416922,H9+H15
R416923,H9+H15
R416924,H15
R416925,H15
R416926,H15
R416927,H15
R416928,H15
R416929,H15
R417921,H9+H15
R417922,H9+H15
R417923,H15
R417924,H15
R417925,H15
R417926,H15
R417927,H15
R417928,H15
R417929,H15
R418922,H9+H15
R418923,H15
R418924,H15
R418925,H15
R418926,H15
R418927,H15
R418928,H15
R418929,H15
R419922,H9+H15
R419923,H15
R419924,H15
R419925,H15
R419926,H15
R419927,H15
R419928,H15
R419929,H15
R4193,H15
R49C,H9+H15
R4094,H9+H15
R400945,H9+H15
R400946,H9+H15
R400947,H15
R400948,H15
R400949,H15
R401945,H9+H15
R401946,H9+H15
R401947,H15
R401948,H15
R401949,H15
R402945,H9+H15
R402946,H15
R402947,H15
R402948,H15
R402949,H15
R403940,H9+H15
R403943,H9+H15
R403944,H9+H15
R403945,H9+H15
R403946,H15
R403947,H15
R403948,H15
R403949,H15
R404940,H9+H15
R404941,H9+H15
R404942,H9+H15
R404943,H9+H15
R404944,H15
R404945,H15
R404946,H15
R404947,H15
R404948,H15
R404949,H15
R405940,H15
R405941,H15
R405942,H9+H15
R405943,H15
R405944,H15
R405945,H15
R405946,H15
R405947,H15
R405948,H15
R405949,H15
R406940,H15
R406941,H15
R406942,H15
R406943,H15
R406944,H15
R406945,H15
R406946,H15
R406947,H15
R406948,H15
R406949,H15
R407940,H15
R407941,H15
R407942,H15
R407943,H15
R407944,H15
R407945,H15
R407946,H15
R407947,H15
R407948,H15
R407949,H15
R408940,H15
R408941,H15
R408942,H15
R408943,H15
R408944,H15
R408945,H15
R408946,H15
R408947,H15
R408948,H15
R408949,H15
R409940,H15
R409941,H15
R409942,H15
R409943,H15
R409944,H15
R409945,H15
R409946,H15
R409947,H15
R409948,H15
R409949,H15
R4095,H9+H15
R400950,H15
R400951,H15
R400952,H15
R400953,H15
R400954,H15
R400955,H15
R400956,H15
R400957,H15
R400958,H9+H15
R400959,H9+H15
R401950,H15
R401951,H15
R401952,H15
R401953,H15
R401954,H15
R401955,H15
R401956,H15
R401957,H15
R401958,H9+H15
R401959,H9+H15
R402950,H15
R402951,H15
R402952,H15
R402953,H15
R402954,H15
R402955,H15
R402956,H15
R402957,H15
R402958,H15
R402959,H9+H15
R403950,H15
R403951,H15
R403952,H15
R403953,H15
R403954,H15
R403955,H15
R403956,H15
R403957,H15
R403958,H15
R403959,H15
R404950,H15
R404951,H15
R404952,H15
R404953,H15
R404954,H15
R404955,H15
R404956,H15
R404957,H15
R404958,H15
R404959,H15
R405950,H15
R405951,H15
R405952,H15
R405953,H15
R405954,H15
R405955,H15
R405956,H15
R405957,H15
R405958,H15
R405959,H15
R406950,H15
R406951,H15
R406952,H15
R406953,H15
R406954,H15
R406955,H15
R406956,H15
R406957,H15
R406958,H15
R406959,H15
R407950,H15
R407951,H15
R407952,H15
R407953,H15
R407954,H15
R407955,H15
R407956,H15
R407957,H15
R407958,H15
R407959,H15
R408950,H15
R408951,H15
R408952,H15
R408953,H15
R408954,H15
R408955,H15
R408956,H15
R408957,H15
R408958,H15
R408959,H15
R409950,H15
R409951,H15
R409952,H15
R409953,H15
R409954,H15
R409955,H15
R409956,H15
R409957,H15
R409958,H15
R409959,H15
R4194,H15
R4195,H15
R49D,H9+H15
R4096,H9+H15
R402960,H9+H15
R403960,H9+H15
R403961,H9+H15
R404960,H15
R404961,H9+H15
R404962,H9+H15
R405960,H15
R405961,H15
R405962,H9+H15
R405963,H9+H15
R405967,H9+H15
R405968,H9+H15
R405969,H9+H15
R406960,H15
R406961,H15
R406962,H15
R406963,H9+H15
R406964,H9+H15
R406965,H9+H15
R406966,H9+H15
R406967,H9+H15
R406968,H15
R406969,H9+H15
R407960,H15
R407961,H15
R407962,H15
R407963,H15
R407964,H9+H15
R407965,H9+H15
R407966,H15
R407967,H15
R407968,H15
R407969,H15
R408960,H15
R408961,H15
R408962,H15
R408963,H15
R408964,H15
R408965,H15
R408966,H15
R408967,H15
R408968,H15
R408969,H15
R409960,H15
R409961,H15
R409962,H15
R409963,H15
R409964,H15
R409965,H15
R409966,H15
R409967,H15
R409968,H15
R409969,H15
R4097,H9+H15
R402978,H9+H15
R402979,H9+H15
R403978,H9+H15
R403979,H15
R404971,H9+H15
R404972,H9+H15
R404973,H9+H15
R404974,H9+H15
R404975,H9+H15
R404976,H9+H15
R404977,H9+H15
R404978,H9+H15
R404979,H15
R405970,H9+H15
R405971,H9+H15
R405972,H15
R405973,H15
R405974,H15
R405975,H15
R405976,H15
R405977,H15
R405978,H15
R405979,H15
R406970,H9+H15
R406971,H15
R406972,H15
R406973,H15
R406974,H15
R406975,H15
R406976,H15
R406977,H15
R406978,H15
R406979,H15
R407970,H15
R407971,H15
R407972,H15
R407973,H15
R407974,H15
R407975,H15
R407976,H15
R407977,H15
R407978,H15
R407979,H15
R408970,H15
R408971,H15
R408972,H15
R408973,H15
R408974,H15
R408975,H15
R408976,H15
R408977,H15
R408978,H15
R408979,H15
R409970,H15
R409971,H15
R409972,H15
R409973,H15
R409974,H15
R409975,H15
R409976,H15
R409977,H15
R409978,H15
R409979,H15
R4196,H15
R4197,H15
R49E,H9+H15
R4098,H9+H15
R400981,H9+H15
R400982,H15
R400983,H15
R400984,H15
R400985,H15
R400986,H15
R400987,H15
R400988,H15
R400989,H15
R401980,H9+H15
R401981,H9+H15
R401982,H15
R401983,H15
R401984,H15
R401985,H15
R401986,H15
R401987,H15
R401988,H15
R401989,H15
R402980,H9+H15
R402981,H15
R402982,H15
R402983,H15
R402984,H15
R402985,H15
R402986,H15
R402987,H15
R402988,H15
R402989,H15
R403980,H15
R403981,H15
R403982,H15
R403983,H15
R403984,H15
R403985,H15
R403986,H15
R403987,H15
R403988,H15
R403989,H15
R404980,H15
R404981,H15
R404982,H15
R404983,H15
R404984,H15
R404985,H15
R404986,H15
R404987,H15
R404988,H15
R404989,H15
R405980,H15
R405981,H15
R405982,H15
R405983,H15
R405984,H15
R405985,H15
R405986,H15
R405987,H15
R405988,H15
R405989,H15
R406980,H15
R406981,H15
R406982,H15
R406983,H15
R406984,H15
R406985,H15
R406986,H15
R406987,H15
R406988,H15
R406989,H15
R407980,H15
R407981,H15
R407982,H15
R407983,H15
R407984,H15
R407985,H15
R407986,H15
R407987,H15
R407988,H15
R407989,H15
R408980,H15
R408981,H15
R408982,H15
R408983,H15
R408984,H15
R408985,H15
R408986,H15
R408987,H15
R408988,H15
R408989,H15
R409980,H15
R409981,H15
R409982,H15
R409983,H15
R409984,H15
R409985,H15
R409986,H15
R409987,H15
R409988,H15
R409989,H15
R4099,H15
R4198,H15
R4199,H15
R49F,H9+H15
R4291,H9+H15
R422912,H9+H15
R422913,H9+H15
R422914,H9+H15
R422915,H9+H15
R422916,H9+H15
R422917,H9+H15
R422918,H9+H15
R422919,H9+H15
R423911,H9+H15
R423912,H9+H15
R423913,H15
R423914,H15
R423915,H15
R423916,H15
R423917,H15
R423918,H15
R423919,H15
R424911,H9+H15
R424912,H15
R424913,H15
R424914,H15
R424915,H15
R424916,H15
R424917,H15
R424918,H15
R424919,H15
R425911,H9+H15
R425912,H9+H15
R425913,H9+H15
R425914,H15
R425915,H15
R425916,H15
R425917,H15
R425918,H15
R425919,H15
R426913,H9+H15
R426914,H15
R426915,H15
R426916,H15
R426917,H15
R426918,H15
R426919,H15
R427913,H9+H15
R427914,H9+H15
R427915,H15
R427916,H15
R427917,H15
R427918,H15
R427919,H15
R428914,H9+H15
R428915,H9+H15
R428916,H9+H15
R428917,H9+H15
R428918,H15
R428919,H15
R429915,H9+H15
R429916,H9+H15
R429917,H9+H15
R429918,H9+H15
R429919,H15
R4391,H9+H15
R430918,H9+H15
R430919,H9+H15
R431919,H9+H15
R49G,H9+H15
R4292,H9+H15
R420922,H9+H15
R420923,H9+H15
R420924,H15
R420925,H15
R420926,H15
R420927,H15
R420928,H15
R420929,H15
R421923,H9+H15
R421924,H15
R421925,H15
R421926,H15
R421927,H15
R421928,H15
R421929,H15
R422920,H9+H15
R422921,H9+H15
R422922,H9+H15
R422923,H9+H15
R422924,H15
R422925,H15
R422926,H15
R422927,H15
R422928,H15
R422929,H15
R423920,H15
R423921,H15
R423922,H15
R423923,H15
R423924,H15
R423925,H15
R423926,H15
R423927,H15
R423928,H15
R423929,H15
R424920,H15
R424921,H15
R424922,H15
R424923,H15
R424924,H15
R424925,H15
R424926,H15
R424927,H15
R424928,H15
R424929,H15
R425920,H15
R425921,H15
R425922,H15
R425923,H15
R425924,H15
R425925,H15
R425926,H15
R425927,H15
R425928,H15
R425929,H15
R426920,H15
R426921,H15
R426922,H15
R426923,H15
R426924,H15
R426925,H15
R426926,H15
R426927,H15
R426928,H15
R426929,H15
R427920,H15
R427921,H15
R427922,H15
R427923,H15
R427924,H15
R427925,H15
R427926,H15
R427927,H15
R427928,H15
R427929,H15
R428920,H15
R428921,H15
R428922,H15
R428923,H15
R428924,H15
R428925,H15
R428926,H15
R428927,H15
R428928,H15
R428929,H15
R429920,H15
R429921,H15
R429922,H15
R429923,H15
R429924,H15
R429925,H15
R429926,H15
R429927,H15
R429928,H9+H15
R429929,H9+H15
R4293,H9+H15
R420930,H15
R420931,H15
R420932,H15
R420933,H15
R420934,H15
R420935,H15
R420936,H15
R420937,H15
R420938,H15
R420939,H15
R421930,H15
R421931,H15
R421932,H15
R421933,H15
R421934,H15
R421935,H15
R421936,H15
R421937,H15
R421938,H15
R421939,H15
R422930,H15
R422931,H15
R422932,H15
R422933,H15
R422934,H15
R422935,H15
R422936,H15
R422937,H15
R422938,H15
R422939,H15
R423930,H15
R423931,H15
R423932,H15
R423933,H15
R423934,H15
R423935,H15
R423936,H15
R423937,H15
R423938,H15
R423939,H15
R424930,H15
R424931,H15
R424932,H15
R424933,H15
R424934,H15
R424935,H15
R424936,H15
R424937,H15
R424938,H15
R424939,H15
R425930,H15
R425931,H15
R425932,H15
R425933,H15
R425934,H15
R425935,H15
R425936,H15
R425937,H15
R425938,H15
R425939,H15
R426930,H15
R426931,H15
R426932,H15
R426933,H15
R426934,H15
R426935,H15
R426936,H15
R426937,H15
R426938,H15
R426939,H15
R427930,H15
R427931,H15
R427932,H15
R427933,H15
R427934,H15
R427935,H15
R427936,H15
R427937,H15
R427938,H15
R427939,H15
R428930,H15
R428931,H15
R428932,H15
R428933,H15
R428934,H15
R428935,H15
R428936,H15
R428937,H15
R428938,H15
R428939,H15
R429930,H9+H15
R429931,H9+H15
R429932,H15
R429933,H15
R429934,H15
R429935,H15
R429936,H15
R429937,H15
R429938,H15
R429939,H15
R4392,H9+H15
R430920,H15
R430921,H15
R430922,H15
R430923,H15
R430924,H15
R430925,H15
R430926,H15
R430927,H9+H15
R430928,H9+H15
R431920,H9+H15
R431921,H9+H15
R431922,H9+H15
R431923,H9+H15
R431924,H9+H15
R431925,H15
R431926,H15
R431927,H15
R431928,H9+H15
R431929,H9+H15
R432924,H9+H15
R432925,H9+H15
R432926,H9+H15
R432927,H9+H15
R432928,H9+H15
R432929,H9+H15
R4393,H9+H15
R430930,H9+H15
R430931,H9+H15
R430932,H15
R430933,H15
R430934,H15
R430935,H15
R430936,H15
R430937,H15
R430938,H15
R430939,H15
R431930,H9+H15
R431931,H15
R431932,H15
R431933,H15
R431934,H15
R431935,H15
R431936,H15
R431937,H15
R431938,H15
R431939,H15
R432930,H9+H15
R432931,H15
R432932,H15
R432933,H15
R432934,H15
R432935,H15
R432936,H15
R432937,H15
R432938,H15
R432939,H15
R433930,H9+H15
R433931,H15
R433932,H15
R433933,H15
R433934,H15
R433935,H15
R433936,H15
R433937,H15
R433938,H15
R433939,H15
R434930,H9+H15
R434931,H9+H15
R434932,H15
R434933,H15
R434934,H15
R434935,H15
R434936,H15
R434937,H15
R434938,H15
R434939,H15
R435931,H9+H15
R435932,H15
R435933,H15
R435934,H15
R435935,H15
R435936,H15
R435937,H15
R435938,H15
R435939,H15
R436931,H9+H15
R436932,H9+H15
R436933,H9+H15
R436934,H15
R436935,H15
R436936,H15
R436937,H15
R436938,H15
R436939,H15
R437933,H9+H15
R437934,H9+H15
R437935,H15
R437936,H15
R437937,H15
R437938,H15
R437939,H15
R438934,H9+H15
R438935,H9+H15
R438936,H15
R438937,H15
R438938,H15
R438939,H15
R439935,H9+H15
R439936,H15
R439937,H15
R439938,H15
R439939,H15
R49H,H15
R49I,H15
R49J,H15
R49K,H9+H15
R4591,H9+H15
R454918,H9+H15
R454919,H9+H15
R455918,H9+H15
R455919,H15
R456918,H9+H15
R456919,H15
R457918,H9+H15
R457919,H9+H15
R458919,H9+H15
R49L,H9+H15
R4492,H9+H15
R440929,H9+H15
R441925,H9+H15
R441926,H9+H15
R441927,H9+H15
R441928,H9+H15
R441929,H9+H15
R442925,H9+H15
R442926,H15
R442927,H9+H15
R442928,H15
R442929,H15
R443925,H9+H15
R443926,H9+H15
R443927,H15
R443928,H15
R443929,H15
R444924,H9+H15
R444925,H9+H15
R444926,H9+H15
R444927,H15
R444928,H15
R444929,H15
R445924,H9+H15
R445925,H15
R445926,H15
R445927,H15
R445928,H15
R445929,H15
R446923,H9+H15
R446924,H9+H15
R446925,H15
R446926,H15
R446927,H15
R446928,H15
R446929,H15
R447923,H9+H15
R447924,H15
R447925,H15
R447926,H15
R447927,H15
R447928,H15
R447929,H15
R448923,H9+H15
R448924,H15
R448925,H15
R448926,H15
R448927,H15
R448928,H15
R448929,H15
R449922,H9+H15
R449923,H9+H15
R449924,H15
R449925,H15
R449926,H15
R449927,H15
R449928,H15
R449929,H15
R4493,H9+H15
R440930,H9+H15
R440931,H9+H15
R440932,H9+H15
R440933,H9+H15
R440934,H9+H15
R440935,H9+H15
R440936,H15
R440937,H15
R440938,H15
R440939,H15
R441930,H15
R441931,H15
R441932,H15
R441933,H9+H15
R441934,H9+H15
R441935,H15
R441936,H15
R441937,H15
R441938,H15
R441939,H15
R442930,H15
R442931,H15
R442932,H15
R442933,H15
R442934,H15
R442935,H15
R442936,H15
R442937,H15
R442938,H15
R442939,H15
R443930,H15
R443931,H15
R443932,H15
R443933,H15
R443934,H15
R443935,H15
R443936,H15
R443937,H15
R443938,H15
R443939,H15
R444930,H15
R444931,H15
R444932,H15
R444933,H15
R444934,H15
R444935,H15
R444936,H15
R444937,H15
R444938,H15
R444939,H15
R445930,H15
R445931,H15
R445932,H15
R445933,H15
R445934,H15
R445935,H15
R445936,H15
R445937,H15
R445938,H15
R445939,H15
R446930,H15
R446931,H15
R446932,H15
R446933,H15
R446934,H15
R446935,H15
R446936,H15
R446937,H15
R446938,H15
R446939,H15
R447930,H15
R447931,H15
R447932,H15
R447933,H15
R447934,H15
R447935,H15
R447936,H15
R447937,H15
R447938,H15
R447939,H15
R448930,H15
R448931,H15
R448932,H15
R448933,H15
R448934,H15
R448935,H15
R448936,H15
R448937,H15
R448938,H15
R448939,H15
R449930,H15
R449931,H15
R449932,H15
R449933,H15
R449934,H15
R449935,H15
R449936,H15
R449937,H15
R449938,H15
R449939,H15
R4592,H9+H15
R450922,H9+H15
R450923,H15
R450924,H15
R450925,H15
R450926,H15
R450927,H15
R450928,H15
R450929,H15
R451921,H9+H15
R451922,H9+H15
R451923,H15
R451924,H15
R451925,H15
R451926,H15
R451927,H15
R451928,H15
R451929,H15
R452921,H9+H15
R452922,H15
R452923,H15
R452924,H15
R452925,H15
R452926,H15
R452927,H15
R452928,H15
R452929,H15
R453920,H9+H15
R453921,H9+H15
R453922,H15
R453923,H15
R453924,H15
R453925,H15
R453926,H15
R453927,H15
R453928,H15
R453929,H15
R454920,H9+H15
R454921,H15
R454922,H15
R454923,H15
R454924,H15
R454925,H15
R454926,H15
R454927,H15
R454928,H15
R454929,H15
R455920,H15
R455921,H15
R455922,H15
R455923,H15
R455924,H15
