N,H10+H14+H15+H18+H19+H20+H21+H22+H23+H24+H25+H29+H30+H31+H32
N01,H15+H18
N01NW,H15+H18
N01C,H15+H18
N0015,H15+H18
N000157,H15+H18
N000158,H15
N000159,H15
N001157,H15+H18
N001158,H15
N001159,H15
N002157,H15+H18
N002158,H15
N002159,H15
N003157,H15+H18
N003158,H15
N003159,H15
N004157,H15+H18
N004158,H15+H18
N004159,H15
N005158,H15+H18
N005159,H15+H18
N006159,H15+H18
N01D,H15+H18
N0016,H15+H18
N000160,H15
N000161,H15
N000162,H15
N000163,H15
N000164,H15
N000165,H15
N000166,H15
N000167,H15
N000168,H15
N000169,H15
N001160,H15
N001161,H15
N001162,H15
N001163,H15
N001164,H15
N001165,H15
N001166,H15
N001167,H15
N001168,H15
N001169,H15
N002160,H15
N002161,H15
N002162,H15
N002163,H15
N002164,H15
N002165,H15
N002166,H15
N002167,H15
N002168,H15
N002169,H15
N003160,H15
N003161,H15
N003162,H15
N003163,H15
N003164,H15
N003165,H15
N003166,H15
N003167,H15
N003168,H15
N003169,H15
N004160,H15
N004161,H15
N004162,H15
N004163,H15
N004164,H15
N004165,H15
N004166,H15
N004167,H15
N004168,H15
N004169,H15
N005160,H15
N005161,H15
N005162,H15
N005163,H15
N005164,H15
N005165,H15
N005166,H15
N005167,H15
N005168,H15
N005169,H15
N006160,H15+H18
N006161,H15
N006162,H15
N006163,H15
N006164,H15
N006165,H15
N006166,H15
N006167,H15
N006168,H15
N006169,H15
N007160,H15+H18
N007161,H15+H18
N007162,H15
N007163,H15
N007164,H15
N007165,H15
N007166,H15
N007167,H15
N007168,H15
N007169,H15
N008161,H15+H18
N008162,H15+H18
N008163,H15+H18
N008164,H15
N008165,H15
N008166,H15
N008167,H15
N008168,H15
N008169,H15
N009163,H15+H18
N009164,H15+H18
N009165,H15
N009166,H15
N009167,H15
N009168,H15
N009169,H15
N0017,H15
N0116,H15+H18
N010164,H15+H18
N010165,H15+H18
N010166,H15+H18
N010167,H15
N010168,H15
N010169,H15
N011166,H15+H18
N011167,H15+H18
N011168,H15+H18
N011169,H15+H18
N012169,H15+H18
N0117,H15+H18
N010170,H15
N010171,H15
N010172,H15
N010173,H15
N010174,H15
N010175,H15
N010176,H15
N010177,H15
N010178,H15
N010179,H15
N011170,H15
N011171,H15
N011172,H15
N011173,H15
N011174,H15
N011175,H15
N011176,H15
N011177,H15
N011178,H15
N011179,H15
N012170,H15+H18
N012171,H15
N012172,H15
N012173,H15
N012174,H15
N012175,H15
N012176,H15
N012177,H15
N012178,H15
N012179,H15
N013170,H15+H18
N013171,H15+H18
N013172,H15
N013173,H15
N013174,H15
N013175,H15
N013176,H15
N013177,H15
N013178,H15
N013179,H15
N014171,H15+H18
N014172,H15+H18
N014173,H15
N014174,H15
N014175,H15
N014176,H15
N014177,H15
N014178,H15
N014179,H15
N015172,H15+H18
N015173,H15+H18
N015174,H15+H18
N015175,H15
N015176,H15
N015177,H15
N015178,H15
N015179,H15
N016174,H15+H18
N016175,H15+H18
N016176,H15
N016177,H15
N016178,H15
N016179,H15
N017175,H15+H18
N017176,H15+H18
N017177,H15+H18
N017178,H15
N017179,H15
N018177,H15+H18
N018178,H15+H18
N018179,H15+H18
N019179,H15+H18
N01E,H15+H18
N0018,H15
N0019,H15
N0118,H15+H18
N010180,H15
N010181,H15
N010182,H15
N010183,H15
N010184,H15
N010185,H15
N010186,H15
N010187,H15
N010188,H15
N010189,H15
N011180,H15
N011181,H15
N011182,H15
N011183,H15
N011184,H15
N011185,H15
N011186,H15
N011187,H15
N011188,H15
N011189,H15
N012180,H15
N012181,H15
N012182,H15
N012183,H15
N012184,H15
N012185,H15
N012186,H15
N012187,H15
N012188,H15
N012189,H15
N013180,H15
N013181,H15
N013182,H15
N013183,H15
N013184,H15
N013185,H15
N013186,H15
N013187,H15
N013188,H15
N013189,H15
N014180,H15
N014181,H15
N014182,H15
N014183,H15
N014184,H15
N014185,H15
N014186,H15
N014187,H15
N014188,H15
N014189,H15
N015180,H15
N015181,H15
N015182,H15
N015183,H15
N015184,H15
N015185,H15
N015186,H15
N015187,H15
N015188,H15
N015189,H15
N016180,H15
N016181,H15
N016182,H15
N016183,H15
N016184,H15
N016185,H15
N016186,H15
N016187,H15
N016188,H15
N016189,H15
N017180,H15
N017181,H15
N017182,H15
N017183,H15
N017184,H15
N017185,H15
N017186,H15
N017187,H15
N017188,H15
N017189,H15
N018180,H15
N018181,H15
N018182,H15
N018183,H15
N018184,H15
N018185,H15
N018186,H15
N018187,H15
N018188,H15
N018189,H15
N019180,H15+H18
N019181,H15+H18
N019182,H15+H18
N019183,H15
N019184,H15
N019185,H15+H18
N019186,H15+H18
N019187,H15
N019188,H15
N019189,H15
N0119,H15
N01J,H15+H18
N0218,H15+H18
N020182,H15+H18
N020183,H15+H18
N020184,H15+H18
N020185,H15+H18
N020186,H15+H18
N020187,H15+H18
N020188,H15+H18
N020189,H15+H18
N0219,H15+H18
N020190,H15+H18
N020191,H15
N020192,H15
N020193,H15
N020194,H15
N020195,H15
N020196,H15
N020197,H15+H18
N020198,H15+H18
N020199,H15+H18
N021190,H15+H18
N021191,H15+H18
N021192,H15+H18
N021193,H15+H18
N021194,H15+H18
N021195,H15+H18
N021196,H15+H18
N021197,H15+H18
N02,H15+H18
N02SW,H15+H18
N02A,H15+H18
N0020,H15
N0021,H15+H18
N000210,H15
N000211,H15
N000212,H15
N000213,H15
N000214,H15
N000215,H15+H18
N000216,H15+H18
N001210,H15
N001211,H15
N001212,H15
N001213,H15
N001214,H15+H18
N001215,H15+H18
N002210,H15
N002211,H15
N002212,H15
N002213,H15
N002214,H15+H18
N003210,H15
N003211,H15
N003212,H15
N003213,H15
N003214,H15+H18
N004210,H15
N004211,H15
N004212,H15
N004213,H15+H18
N004214,H15+H18
N005210,H15
N005211,H15
N005212,H15
N005213,H15+H18
N006210,H15
N006211,H15
N006212,H15+H18
N006213,H15+H18
N007210,H15
N007211,H15
N007212,H15+H18
N008210,H15
N008211,H15+H18
N008212,H15+H18
N009210,H15
N009211,H15+H18
N0120,H15+H18
N010200,H15
N010201,H15
N010202,H15
N010203,H15
N010204,H15
N010205,H15
N010206,H15
N010207,H15
N010208,H15
N010209,H15
N011200,H15
N011201,H15
N011202,H15
N011203,H15
N011204,H15
N011205,H15
N011206,H15
N011207,H15
N011208,H15
N011209,H15
N012200,H15
N012201,H15
N012202,H15
N012203,H15
N012204,H15
N012205,H15
N012206,H15
N012207,H15
N012208,H15
N012209,H15+H18
N013200,H15
N013201,H15
N013202,H15
N013203,H15
N013204,H15
N013205,H15
N013206,H15
N013207,H15
N013208,H15+H18
N013209,H15+H18
N014200,H15
N014201,H15
N014202,H15
N014203,H15
N014204,H15
N014205,H15
N014206,H15
N014207,H15+H18
N014208,H15+H18
N015200,H15
N015201,H15
N015202,H15
N015203,H15
N015204,H15
N015205,H15
N015206,H15+H18
N015207,H15+H18
N016200,H15
N016201,H15
N016202,H15
N016203,H15
N016204,H15
N016205,H15+H18
N016206,H15+H18
N017200,H15
N017201,H15
N017202,H15
N017203,H15
N017204,H15+H18
N017205,H15+H18
N018200,H15
N018201,H15
N018202,H15
N018203,H15+H18
N018204,H15+H18
N019200,H15
N019201,H15+H18
N019202,H15+H18
N019203,H15+H18
N0121,H15+H18
N010210,H15+H18
N010211,H15+H18
N011210,H15+H18
N012210,H15+H18
N02F,H15+H18
N0220,H15+H18
N020200,H15+H18
N020201,H15+H18
R,H0+H2+H4+H5+H6+H7+H8+H9+H10+H15+H18
R39,H9+H15
R39SE,H9+H15
R39NE,H9+H15
R39X,H9+H15
R3994,H9+H15
R398947,H9+H15
R398948,H9+H15
R398949,H9+H15
R399945,H9+H15
R399946,H9+H15
R399947,H9+H15
R399948,H15
R399949,H15
R3995,H9+H15
R396957,H9+H15
R397955,H9+H15
R397956,H9+H15
R397957,H9+H15
R397958,H9+H15
R397959,H9+H15
R398950,H9+H15
R398951,H9+H15
R398952,H9+H15
R398953,H9+H15
