R,H0+H2+H4+H5+H6+H7+H8+H9+H10+H15+H18
R10,H2+H4
R10SW,H2+H4
R10NW,H2+H4
R10SE,H2+H4
R10NE,H4
R10I,H2+H4
R1307,H2+H4
R136073,H2+H4
R136074,H2+H4
R136079,H2+H4
R137073,H2+H4
R137074,H2+H4
R137075,H2+H4
R137076,H2+H4
R137077,H2+H4
R137078,H2+H4
R137079,H2+H4
R138073,H2+H4
R138074,H2+H4
R138075,H4
R138076,H4
R138077,H4
R138078,H2+H4
R138079,H4
R139073,H2+H4
R139074,H2+H4
R139075,H4
R139076,H4
R139077,H4
R139078,H4
R139079,H4
R10J,H2+H4
R1209,H2+H4
R129091,H2+H4
R129092,H2+H4
R129093,H2+H4
R129094,H2+H4
R1308,H2+H4
R131089,H2+H4
R132088,H2+H4
R132089,H2+H4
R133087,H2+H4
R133088,H2+H4
R133089,H4
R134081,H2+H4
R134082,H2+H4
R134083,H2+H4
R134086,H2+H4
R134087,H2+H4
R134088,H4
R134089,H4
R135080,H2+H4
R135081,H2+H4
R135082,H4
R135083,H2+H4
R135084,H2+H4
R135085,H2+H4
R135086,H2+H4
R135087,H4
R135088,H4
R135089,H4
R136080,H2+H4
R136081,H4
R136082,H4
R136083,H4
R136084,H4
R136085,H4
R136086,H4
R136087,H4
R136088,H4
R136089,H4
R137080,H4
R137081,H4
R137082,H4
R137083,H4
R137084,H4
R137085,H4
R137086,H4
R137087,H4
R137088,H4
R137089,H4
R138080,H4
R138081,H4
R138082,H4
R138083,H4
R138084,H4
R138085,H4
R138086,H4
R138087,H4
R138088,H4
R138089,H4
R139080,H4
R139081,H4
R139082,H4
R139083,H4
R139084,H4
R139085,H4
R139086,H4
R139087,H4
R139088,H4
R139089,H4
R1309,H2+H4
R130090,H2+H4
R130091,H2+H4
R130092,H4
R130093,H4
R130094,H2+H4
R130095,H2+H4
R130096,H2+H4
R130097,H2+H4
R130098,H2+H4
R130099,H2+H4
R131090,H2+H4
R131091,H4
R131092,H4
R131093,H4
R131094,H4
R131095,H4
R131096,H4
R131097,H4
R131098,H4
R131099,H4
R132090,H4
R132091,H4
R132092,H4
R132093,H4
R132094,H4
R132095,H4
R132096,H4
R132097,H4
R132098,H4
R132099,H4
R133090,H4
R133091,H4
R133092,H4
R133093,H4
R133094,H4
R133095,H4
R133096,H4
R133097,H4
R133098,H4
R133099,H4
R134090,H4
R134091,H4
R134092,H4
R134093,H4
R134094,H4
R134095,H4
R134096,H4
R134097,H4
R134098,H4
R134099,H4
R135090,H4
R135091,H4
R135092,H4
R135093,H4
R135094,H4
R135095,H4
R135096,H4
R135097,H4
R135098,H4
R135099,H4
R136090,H4
R136091,H4
R136092,H4
R136093,H4
R136094,H4
R136095,H4
