B,H0+H34+H35
B694002,H0
B694003,H0
B694004,H0
B694005,H0
B694006,H0
B694007,H0
B694008,H0
B694009,H0
B695000,H0+H35
B695001,H0
B695002,H0
B695003,H0
B695004,H0
B695005,H0
B695006,H0
B695007,H0
B695008,H0
B695009,H0
B696000,H0
B696001,H0
B696002,H0
B696003,H0
B696004,H0
B696005,H0
B696006,H0
B696007,H0
B696008,H0
B696009,H0
B697000,H0
B697001,H0
B697002,H0
B697003,H0
B697004,H0
B697005,H0
B697006,H0
B697007,H0
B697008,H0
B697009,H0
B698000,H0
B698001,H0
B698002,H0
B698003,H0
B698004,H0
B698005,H0
B698006,H0
B698007,H0
B698008,H0
B698009,H0
B699000,H0
B699001,H0
B699002,H0
B699003,H0
B699004,H0
B699005,H0
B699006,H0
B699007,H0
B699008,H0
B699009,H0
B6901,H0
B60W,H0
B60X,H0
B60Y,H0
B60Z,H0
B61,H0+H35
B61SW,H0+H35
B61NW,H0+H35
B61SE,H0+H35
B61NE,H0+H35
B61A,H0
B61B,H0
B61C,H0
B61D,H0
B61E,H0
B61F,H0
B61G,H0
B61H,H0+H35
B6214,H0
B6215,H0
B6314,H0+H35
B630140,H0
B630141,H0
B630142,H0
B630143,H0
B630144,H0
B630145,H0
B630146,H0
B630147,H0
B630148,H0
B630149,H0
B631140,H0
B631141,H0
B631142,H0
B631143,H0
B631144,H0
B631145,H0
B631146,H0
B631147,H0
B631148,H0
B631149,H0
B632140,H0
B632141,H0
B632142,H0
B632143,H0
B632144,H0
B632145,H0
B632146,H0
B632147,H0+H35
B632148,H0+H35
B632149,H0+H35
B633140,H0
B633141,H0
B633142,H0
B633143,H0
B633144,H0
B633145,H0
B633146,H0
B633147,H0+H35
B633148,H0+H35
B633149,H35
B634140,H0
B634141,H0
B634142,H0
B634143,H0
B634144,H0
B634145,H0
B634146,H0
B634147,H0
B634148,H0+H35
B634149,H0+H35
B635140,H0
B635141,H0
B635142,H0
B635143,H0
B635144,H0
B635145,H0
B635146,H0
B635147,H0+H35
B635148,H0
B635149,H0
B636140,H0
B636141,H0
B636142,H0
B636143,H0
B636144,H0+H35
B636145,H0+H35
B636146,H0+H35
B636147,H0+H35
B636148,H0+H35
B636149,H0
B637140,H0
B637141,H0
B637142,H0
B637143,H0+H35
B637144,H0+H35
B637145,H0+H35
B637146,H0+H35
B637147,H0+H35
B637148,H0+H35
B637149,H0+H35
B638140,H0
B638141,H0
B638142,H0
B638143,H0+H35
B638144,H0+H35
B638145,H35
B638146,H0+H35
B638147,H0+H35
B638148,H0+H35
B638149,H0+H35
B639140,H0
B639141,H0
B639142,H0
B639143,H0+H35
B639144,H35
B639145,H35
B639146,H35
B639147,H35
B639148,H35
B639149,H35
B6315,H0+H35
B630150,H0
B630151,H0
B630152,H0
B630153,H0
B630154,H0
B630155,H0
B630156,H0
B630157,H0
B630158,H0
B630159,H0
B631150,H0
B631151,H0
B631152,H0
B631153,H0
B631154,H0
B631155,H0
B631156,H0
B631157,H0
B631158,H0
B631159,H0
B632150,H0+H35
B632151,H0+H35
B632152,H0
B632153,H0
B632154,H0
B632155,H0
B632156,H0
B632157,H0
B632158,H0
