T,H0+H12+H13+H20
T031052,H0
T031053,H0+H12
T031054,H12
T031055,H12
T031056,H12
T031057,H12
T031058,H12
T031059,H12
T032050,H0
T032051,H0
T032052,H0
T032053,H0+H12
T032054,H12
T032055,H12
T032056,H12
T032057,H12
T032058,H12
T032059,H12
T033050,H0
T033051,H0
T033052,H0
T033053,H0+H12
T033054,H12
T033055,H12
T033056,H12
T033057,H12
T033058,H12
T033059,H12
T034050,H0
T034051,H0
T034052,H0
T034053,H0+H12
T034054,H12
T034055,H12
T034056,H12
T034057,H12
T034058,H12
T034059,H12
T035050,H0
T035051,H0
T035052,H0
T035053,H0+H12
T035054,H12
T035055,H12
T035056,H12
T035057,H12
T035058,H12
T035059,H12
T036050,H0
T036051,H0
T036052,H0
T036053,H0+H12
T036054,H12
T036055,H12
T036056,H12
T036057,H12
T036058,H12
T036059,H12
T037050,H0
T037051,H0
T037052,H0
T037053,H0+H12
T037054,H12
T037055,H12
T037056,H12
T037057,H12
T037058,H12
T037059,H12
T038050,H0
T038051,H0
T038052,H0
T038053,H0+H12
T038054,H12
T038055,H12
T038056,H12
T038057,H12
T038058,H12
T038059,H12
T039050,H0
T039051,H0
T039052,H0
T039053,H0+H12
T039054,H0+H12
T039055,H12
T039056,H12
T039057,H12
T039058,H12
T039059,H12
T00I,H12
T00J,H12
T00K,H0
T00L,H0
T00M,H0+H12
T0404,H0
T0405,H0+H12
T040050,H0
T040051,H0
T040052,H0
T040053,H0
T040054,H0+H12
T040055,H12
T040056,H12
T040057,H12
T040058,H12
T040059,H12
T041050,H0
T041051,H0
T041052,H0
T041053,H0
T041054,H0+H12
T041055,H12
T041056,H12
T041057,H12
T041058,H12
T041059,H12
T042050,H0
T042051,H0
T042052,H0
T042053,H0
T042054,H0+H12
T042055,H12
T042056,H12
T042057,H12
T042058,H12
T042059,H12
T043050,H0
T043051,H0
T043052,H0
T043053,H0
T043054,H0+H12
T043055,H12
T043056,H12
T043057,H12
T043058,H12
T043059,H12
T044050,H0
T044051,H0
T044052,H0
T044053,H0
T044054,H0+H12
T044055,H12
T044056,H12
T044057,H12
T044058,H12
T044059,H12
T045050,H0
T045051,H0
T045052,H0
T045053,H0
T045054,H0+H12
T045055,H12
T045056,H12
T045057,H12
T045058,H12
T045059,H12
T046050,H0
T046051,H0
T046052,H0
T046053,H0
T046054,H0+H12
T046055,H12
T046056,H12
T046057,H12
T046058,H12
T046059,H12
T047050,H0
T047051,H0
T047052,H0
T047053,H0
T047054,H0+H12
T047055,H12
T047056,H12
T047057,H12
T047058,H12
T047059,H12
T048050,H0
T048051,H0
T048052,H0
T048053,H0
T048054,H0+H12
T048055,H12
T048056,H12
T048057,H12
T048058,H12
T048059,H12
T049050,H0
T049051,H0
T049052,H0
T049053,H0
T049054,H0+H12
T049055,H12
T049056,H12
T049057,H12
T049058,H12
T049059,H12
T0504,H0
T0505,H0+H12
T050050,H0
T050051,H0
T050052,H0
T050053,H0
T050054,H0+H12
T050055,H12
T050056,H12
T050057,H12
T050058,H12
T050059,H12
T051050,H0
T051051,H0
T051052,H0
T051053,H0
T051054,H0+H12
T051055,H12
T051056,H12
T051057,H12
T051058,H12
T051059,H12
T052050,H0
T052051,H0
T052052,H0
T052053,H0
T052054,H0+H12
T052055,H12
T052056,H12
T052057,H12
T052058,H12
T052059,H12
T053050,H0
T053051,H0
T053052,H0
T053053,H0
T053054,H0+H12
T053055,H12
T053056,H12
T053057,H12
T053058,H12
T053059,H12
T054050,H0
T054051,H0
T054052,H0
T054053,H0+H12
T054054,H0+H12
T054055,H12
T054056,H12
T054057,H12
T054058,H12
T054059,H12
T055050,H0
T055051,H0
T055052,H0
T055053,H0+H12
T055054,H12
T055055,H12
T055056,H12
T055057,H12
T055058,H12
T055059,H12
T056050,H0
T056051,H0
T056052,H0
T056053,H0+H12
T056054,H12
T056055,H12
T056056,H12
T056057,H12
T056058,H12
T056059,H12
T057050,H0
T057051,H0
T057052,H0
T057053,H0+H12
T057054,H12
T057055,H12
T057056,H12
T057057,H12
T057058,H12
T057059,H12
T058050,H0
T058051,H0
T058052,H0
T058053,H0+H12
T058054,H12
T058055,H12
T058056,H12
T058057,H12
T058058,H12
T058059,H12
T059050,H0
T059051,H0
T059052,H0
T059053,H0+H12
T059054,H12
T059055,H12
T059056,H12
T059057,H12
T059058,H12
T059059,H12
T00N,H12
T00P,H12
T00Q,H0
T00R,H0
T00S,H0+H12
T0604,H0
T0605,H0+H12
T060050,H0
T060051,H0
T060052,H0
T060053,H0+H12
T060054,H12
T060055,H12
T060056,H12
T060057,H12
T060058,H12
T060059,H12
T061050,H0
T061051,H0
T061052,H0
T061053,H0+H12
T061054,H12
T061055,H12
T061056,H12
T061057,H12
T061058,H12
T061059,H12
T062050,H0
T062051,H0
T062052,H0
